text,labels
"The sun is shining, and the birds are chirping. It's just another beautiful day.",7
I'm fuming! They didn't even give me a chance to explain my side of the story!,1
"The sound of thunder made me jump, I've been afraid of storms since I was a kid.",2
"It's just another rainy day, and I have no motivation to do anything.",3
I can't believe I won the award! That's amazing news.,0
"The new recipe from the chef tonight is disappointing, I'm not a fan of the taste.",5
I'm so thrilled to start my new job next week! This is going to be great.,6
"The company is releasing a new product today, and I'm eagerly waiting to see it.",6
"The meeting went well, and we're moving forward with the project plan.",7
"I feel like I'm on edge, everything is making me angry lately.",1
"I've never seen anything like that before, it's incredible!",4
"The old man's story was heartwarming, it made me smile.",0
"The movie was boring; every time I tried to watch it, I fell asleep.",7
I can't believe she stood me up; that's incredibly rude.,1
The sight of the open sea makes me feel free and calm.,7
"I received an unexpected phone call, it caught me off guard.",4
"The smell of the freshly baked cookies is driving me crazy, I need to eat one.",0
"The deadline is fast approaching, and I'm feeling increasingly stressed and anxious.",2
I just got accepted into my dream university! I can't wait to start this new chapter.,6
The aroma of fresh coffee in the morning always puts me in a good mood.,0
Why do people keep leaving dirty dishes in the sink after repeated reminders?,1
Woke up to find dark clouds gathering outside; I hope the storm doesn't damage the garden.,2
Visiting grandparents always makes me nostalgic for those carefree childhood summers.,3
I won front-row concert tickets through a radio contest I didn't even know I entered!,4
Found mold growing on the bread I just bought yesterday. What a waste of money!,5
The quarterly financial report shows a 15% increase in revenue compared to last year.,7
Spending the day hiking through the mountains was exhilarating and refreshing!,6
Nothing beats the satisfaction of helping someone achieve their personal goals.,0
Traffic is completely gridlocked again because of poorly timed traffic lights.,1
Hearing strange noises coming from the attic at midnight makes my heart race.,2
Sorting through old photo albums made me miss friends who've moved far away.,3
My secret admirer sent flowers to my workplace - I had no idea who it could be!,4
Stepped in something sticky and foul-smelling on the sidewalk this morning.,5
Today's weather forecast predicts partly cloudy skies with a high of 22°C.,7
Our team won the championship after months of intense practice! Let's celebrate!,6
Watching the sunset over the ocean fills me with peace and contentment.,0
The neighbors left their dog barking non-stop for hours again. This is unacceptable.,1
I keep worrying about whether my passport will arrive in time for the trip.,2
Reading old letters from deceased loved ones brings both comfort and pain.,3
Completely forgot about surprise party preparations until walking into the decorated room!,4
The bathroom drain is clogged with clumps of hair and soap scum.,5
Libraries typically operate between 9 AM to 7 PM during weekdays.,7
Starting guitar lessons tomorrow! I've been waiting years for this opportunity.,6
I just got a promotion at work! I can't believe how happy I am right now.,0
The traffic this morning was a nightmare. I'm so angry I could scream!,1
I'm so scared of the upcoming exam. What if I fail and ruin my future?,2
I lost my favorite necklace. I feel so sad and empty inside.,3
"Whoa, I can't believe he proposed in the middle of the concert! That's so romantic!",4
The meal I had at that new restaurant was absolutely disgusting. I can't believe I paid for that.,5
I'm so excited for my vacation next week! I can't wait to explore the city and try all the local food.,6
"It's raining today. The weather forecast said it would be sunny. Oh well, at least the plants will get some water.",7
"I just found out I won a lottery ticket worth $1,000! I'm over the moon with joy!",0
My car broke down in the middle of nowhere. I'm so frustrated and angry! Why does this always happen to me?,1
I'm terrified of public speaking. The thought of standing in front of all those people makes me shake.,2
I just heard that my best friend is moving away. I feel so sad and I'm not sure how to cope with it.,3
I just saw a shooting star! I’ve never seen one before. It was so beautiful!,4
The smell of the garbage in this neighborhood is unbearable. It’s making me feel sick.,5
"I just scored a goal in the final minute of the soccer match. The crowd went wild, and I’m so pumped!",6
The meeting is scheduled for 10 AM tomorrow. Please make sure to arrive on time.,7
I’m so happy I finally finished my thesis. All that hard work has paid off!,0
I’m so angry with the customer service at that store. They treated me like I was nothing.,1
The news about the economic downturn is making me anxious. I’m not sure how this will affect my job.,2
My dog passed away last night. I’m devastated. He was my best friend.,3
"I just met the love of my life! We connected instantly, and I’m amazed by this person.",4
The mold in the bathroom is so gross. I need to clean it immediately.,5
"I’m so excited to meet my pen pal for the first time. We’ve been writing for years, and it’s finally happening!",6
The temperature is 72 degrees Fahrenheit and sunny. Perfect weather for a picnic.,7
I’m so happy about the new project I’m working on. It’s challenging and exciting!,0
I’m so angry with the government’s decision. It’s completely unfair and unjust.,1
I'm overjoyed with the news of my promotion! This is a dream come true.,0
"The sunset was absolutely breathtaking tonight, painting the sky in vibrant colors.",7
I failed my exam and now I'm really worried about my future.,3
Can't believe they canceled the concert! I was waiting for months.,1
The new restaurant in town serves the best sushi I've ever tasted!,6
The baby laughed uncontrollably when the puppy wagged its tail.,0
She felt a surge of fear when the rollercoaster dropped suddenly.,2
The flowers are blooming early this year due to the warm weather.,7
He got so furious when his favorite team lost the championship game.,1
The upcoming vacation to Bali is all I can think about right now.,6
The sound of waves crashing against the shore is so calming.,7
I feel so nervous about tomorrow's big presentation at work.,2
Everyone was in shock when the news broke about the natural disaster.,4
The customer service representative was completely rude today.,1
Looking forward to reuniting with old friends at the reunion tonight.,6
The city streets were filled with people celebrating the festival.,7
She couldn't hold back her tears during the sad movie scene.,3
The smell coming from the trash can is absolutely disgusting.,5
He felt a deep sense of regret over his decision to quit the job.,3
The quick response from the team solved the issue before it escalated.,7
I'm so thrilled to have won the award for my project!,0
The complexity of the problem left everyone in the room speechless.,4
He couldn't believe how beautiful the northern lights were in person.,4
The company announced a surprise bonus for all employees today.,0
She felt disgusted after seeing the dirty state of the public restroom.,5
"The recipe turned out perfectly, just as I hoped it would!",7
I just received a beautiful bouquet of flowers from my best friend!,0
"This project due date is insane, I cannot meet it under any circumstances.",1
The sound of sirens in the middle of the night kept me awake.,2
"It's raining cats and dogs, and my car was flooded.",3
"I found out about the surprise birthday party, I am over the moon about it!",4
How could you even consider eating this? It's utterly disgusting!,5
"I just got hired at my dream job, I'm so excited to start working there!",6
The meeting schedule for next week has been finalized.,7
The sudden drop in temperature made me catch a cold.,3
"My car got a flat tire, but fortunately, a kind stranger helped me change it.",0
I can't believe that you forgot about our plan again.,1
"I watched a horror movie last night, it still gives me chills.",2
I just got rejected from the job I really wanted.,3
I didn't expect this discount on the item I had been eyeing for months!,4
"I found a worm in my apple, I couldn't stand the thought of eating it.",5
I'm finally getting the promotion I had been working for.,6
The weather report predicts sunny skies for the weekend.,7
"My plane is delayed, and I have to wait at the airport for another hour.",3
I'm so angry at the driver who nearly hit me on the road yesterday.,1
The loud sound of thunder startled me awake in the middle of the night.,2
"I finally finished the report I had been procrastinating on, no more stress.",0
I can't believe they're selling my favorite book at a huge discount.,4
The thought of eating that food makes me feel sick to my stomach.,5
I'm about to embark on a new adventure; I am so excited!,6
The local library will be closed for maintenance tomorrow.,7
I can't believe I aced the exam! I've been studying so hard!,0
This traffic is driving me insane! I'm going to be late for my interview!,1
I'm terrified to go to the dentist; the thought of needles makes me anxious.,2
"It's been a tough week, and I just want to curl up and cry.",3
"Wow, I didn't expect them to announce new products so soon!",4
The smell in the kitchen is so bad; I think something is rotting in there.,5
I'm so excited to start my new job on Monday!,6
The weather forecast predicts rain for the weekend.,7
I'm so happy to see you! It's been too long!,0
Why do people always cut in line? It's so frustrating!,1
I'm scared of what might happen if we don't take action on climate change.,2
"I lost my favorite necklace, and I can't imagine how much I'm going to miss it.",3
I almost jumped out of my seat when the cat jumped out from behind the curtain!,4
The sight of the garbage overflowing with rotting food was revolting.,5
I'm thrilled to finally have the chance to travel to Japan next year!,6
"The population of the city is around 500,000.",7
I'm so grateful for the support of my friends and family; it means the world to me!,0
How dare you talk to me like that! I'm not going to stand for it!,1
I'm worried about the safety of my data with all these breaches in the news.,2
Losing my pet was one of the hardest things I've ever had to endure.,3
"I was shocked to find out that I won the lottery, even though my chances were so low!",4
The stench of burning rubber from the factory is unbearable.,5
I'm so excited to meet my favorite author at the book signing next month!,6
The meeting is scheduled for 3 PM in the conference room.,7
I'm over the moon about my new promotion and the raise that comes with it!,0
The weather today is absolutely perfect for a picnic in the park.,0
I can't believe they ignored all my suggestions during the meeting again!,1
Walking alone in the dark alley made my heart race uncontrollably.,2
"After hearing about the accident, a heavy silence fell over the room.",3
You’re telling me the concert tickets were sold out in under a minute?,4
The smell from the dumpster behind the restaurant was overwhelming.,5
I can’t wait to start my road trip across the country tomorrow!,6
The report indicates a 2% increase in quarterly sales compared to last year.,7
Winning the community award felt like a dream come true for everyone involved.,0
How dare you speak to me like that after everything I’ve done for you!,1
Every creak in the old house at night makes me freeze in my tracks.,2
Watching the sunset alone reminded me of how much I miss my best friend.,3
"Wait, did you just say the boss resigned effective immediately?",4
The moldy bread in the pantry had fuzzy green spots all over it.,5
Hearing that my favorite band is reuniting for a tour next year is amazing!,6
The library closes at 8 PM on weekdays and 5 PM on weekends.,7
Hearing my toddler say 'I love you' for the first time melted my heart.,0
This traffic jam is making me late for the third time this week!,1
The prospect of presenting in front of hundreds of people terrifies me.,2
Finding her old diary brought back memories of happier times long gone.,3
You’re kidding—they announced a 50% discount on all electronics today only?,4
There was a cockroach crawling across the kitchen counter this morning.,5
My palms are sweating just thinking about the roller coaster ride later!,6
The average rainfall in July for this region is approximately 3.5 inches.,7
Celebrating my graduation with friends was the highlight of my year.,0
I can't believe I won the lottery! This is a dream come true!,0
I'm so angry at the company for not addressing my concerns. They are completely ignoring me!,1
I'm terrified of what might happen if I don't get the job. The uncertainty is killing me.,2
It's been a tough week. I miss my old job and the people I worked with.,3
I was shocked to see the news this morning. I never expected something like that to happen.,4
The smell of the garbage in the kitchen is absolutely revolting. I need to take it out now.,5
I'm so excited about the launch of the new product! It's going to change everything!,6
The weather today is 22 degrees Celsius with a 10% chance of rain.,7
I'm so happy to see you after all these years! You look amazing!,0
The customer service at this store is abysmal. I’m never shopping here again!,1
I'm afraid to tell my boss that I made a mistake on the report. I don't want to lose my job.,2
Losing my pet was one of the hardest things I've ever gone through. I miss them so much.,3
I was surprised to see how many people showed up for the event. It was more than I expected.,4
The food at that restaurant was absolutely disgusting. I couldn't even finish my meal.,5
I'm so excited to start my new job next week! It's been a long time coming.,6
The meeting is scheduled for 3 PM. Please be on time.,7
I'm over the moon about my promotion! All my hard work has paid off.,0
I'm so frustrated with the traffic. I’m going to be late for the appointment.,1
I'm worried about my friend's health. They've been acting strange lately.,2
I'm feeling really sad today. I miss my grandmother who passed away last year.,3
I was shocked to hear that the company is downsizing. It came as a complete surprise.,4
"The movie was terrible. The acting was poor, and the plot was cliché.",5
I'm so excited to travel to Paris next month! I’ve been planning this for a long time.,6
The book is 300 pages long and will be published next month.,7
I just won a free trip to the Bahamas! This is the best day ever!,0
I can't believe how rude that person was to me; it's infuriating!,1
I'm so scared to go to the dentist tomorrow; I hope everything goes well.,2
Losing my best friend to a different city is the hardest thing I've ever had to go through.,3
I just saw a UFO in my backyard; I can't even process what just happened.,4
The smell of that rotting garbage is making me feel nauseous.,5
I'm so excited about the new concert series this summer!,6
The weather is 72 degrees and sunny with a light breeze from the east.,7
I'm so happy my family is all together for the holidays! It feels like nothing could go wrong.,0
Why does my boss always take credit for my ideas? It's so infuriating!,1
I'm terrified to give that big presentation tomorrow; what if I mess up?,2
Breaking up with my partner was one of the saddest moments of my life.,3
"I just won a lottery of $10,000! I'm absolutely shocked!",4
The sight of that accident scene was really disturbing; it's hard to shake off.,5
I'm thrilled about the new job offer; it's a dream come true!,6
"The store is open from 9 AM to 6 PM, Monday through Friday.",7
"Today is my birthday, and I have so many plans to celebrate with my friends!",0
I'm so angry at the customer service; they completely ignored my complaint!,1
I'm anxious about the upcoming exams; I hope I can manage my time well.,2
The loss of my pet dog has left me feeling heartbroken.,3
I just saw a shooting star while camping; it was magical!,4
The stench of the sewers is unbearable; I can't stand being here.,5
I'm so excited to travel to Japan next month and try all the local cuisines!,6
The temperature in the room is 70 degrees Fahrenheit.,7
I've been feeling so happy lately; everything seems to be going right.,0
I can't believe I got the job at my dream company!,0
The traffic this morning was absolutely infuriating!,1
"I'm so scared of the upcoming exam, I don't think I'm prepared.",2
"She passed away yesterday, and I miss her so much.",3
"Wow, I didn't expect the team to win by such a large margin!",4
"The smell of the garbage in the hallway is so disgusting, I can't stand it.",5
I can't wait to see the new exhibit at the museum next weekend!,6
The temperature today is 23 degrees Celsius.,7
"The party was amazing, everyone had a great time!",0
"How dare he talk to me like that, I'm going to confront him!",1
"I'm afraid to speak in front of the class, my heart is racing.",2
"Losing the game was devastating, I feel so down.",3
I was shocked to hear that the company is closing down next month.,4
"The food at the restaurant was terrible, it made me sick.",5
"I'm so excited about the new book release, I can't wait to start reading!",6
The project is due next Friday.,7
"I won the lottery, I'm the happiest person in the world right now!",0
I'm so angry at my roommate for breaking my favorite vase!,1
"I'm afraid of the dark, especially when I'm alone in the house.",2
"It's been a tough year, I've been feeling really down.",3
"I was surprised to see her there, I thought she was out of town.",4
"The smell of the sulfur in the hot springs is so strong, it's almost unbearable.",5
I'm so excited to try skydiving for the first time next week!,6
The conference starts at 9 AM tomorrow.,7
"I'm over the moon about my promotion, I've been working so hard for this!",0
"After winning the lottery, she was jumping up and down with joy, feeling like anything was possible.",0
The boss's harsh criticism during the meeting left him feeling humiliated and full of anger.,1
"The dark clouds and thundering sounds made her feel uneasy, wondering if a storm was on the way.",2
"The old couple held hands as they walked down the memory lane, sharing their bittersweet past.",3
"Upon receiving the unexpected news, his eyes widened in shock and disbelief.",4
"The smell of rotten eggs filled the room, causing nausea and a strong sense of disgust.",5
The crowd roared in excitement as the fireworks lit up the sky during the New Year's Eve celebration.,6
"The city council decided to increase public transportation ticket prices, a matter-of-fact decision without strong emotional undertones.",7
"She found peace in the garden, the gentle breeze and rustling leaves calming her mind and soothing her spirit.",0
"The aggressive driver on the road ahead had her tapping the brakes, feeling angry and stressed.",1
"The distant storm warnings on the weather app made him anxious, fearing potential power outages.",2
"The funeral procession left the church, the somber tone of the service reflecting the attendees' sadness.",3
"The sudden realization that his flight was canceled had his mouth open in disbelief, stunned by the news.",4
"The moldy food in the refrigerator caused his stomach to churn, a visceral feeling of disgust.",5
"The children played joyfully, their laughter and excitement making the playground a lively scene.",0
"The traffic jam was infuriating, causing a surge of anger and frustration.",1
"The approaching deadline made him feel nervous, his heart racing with fear.",2
The old man wiped away tears as he remembered his late wife during their anniversary dinner.,3
"The sudden earthquake had the whole house shaking, leaving everyone in shock.",4
"The sight of a rat in the kitchen caused revulsion, making her turn away in disgust.",5
"The team celebrated their victory with high-fives and shouts, a contagious spirit of excitement.",6
"The annual budget report was released, outlining figures and statistics in a neutral, fact-based manner.",7
"The baby fell sound asleep in the cradle, the rhythmic breathing of a contented mind bringing a sense of joy.",0
"The traffic cops directed traffic calmly, their actions devoid of any strong emotions, merely performing their duties.",7
The politician's speech criticizing the government elicited boos and shouts of anger from the crowd.,1
"The sound of breaking glass sent chills down her spine, a feeling of fear and vulnerability.",2
"The couple sat in silence, surrounded by empty champagne glasses and tissues, a somber testament to their lost loved one.",3
"Upon seeing a black swan for the first time, his eyes were wide in amazement and disbelief.",4
"The sunlight filtered through autumn leaves, painting the path in gold and crimson.",7
Our team won the championship! I’ve never felt so proud and exhilarated in my life!,0
The customer yelled at me for a mistake I didn’t even make—it’s so unfair!,1
Hearing footsteps in the dark alley made my heart race and palms sweat.,2
I can’t believe she’s gone. The house feels empty without her laugh echoing.,3
You got us front-row tickets to the concert? This is unbelievable!,4
"The dumpster reeked of rotting food and mold, making me gag instantly.",5
Tomorrow’s the road trip! I can barely sleep thinking about the adventures ahead!,6
The meeting is scheduled for 2 PM in Conference Room B.,7
Waking up to birds chirping and coffee brewing always starts my day perfectly.,0
They canceled the project after months of work? How dare they waste our time!,1
Every creak in the old house at night sends chills down my spine.,2
Finding her childhood diary brought back a flood of bittersweet memories.,3
"Wait, you’re saying we’re getting a 50% bonus this year? Seriously?",4
The bathroom was covered in grime and hair—it was absolutely revolting.,5
I’ve been counting down the days until the festival—it’s going to be epic!,6
The library requires silence to maintain a conducive study environment.,7
Holding my newborn niece for the first time filled me with pure warmth.,0
They had the audacity to cut in line after everyone waited for hours!,1
"Seeing the storm clouds gather, I worried the roof might not hold.",2
The abandoned puppy’s whimpers made my chest ache with helplessness.,3
You baked this cake from scratch? It tastes like a professional made it!,4
I stepped in something slimy and foul-smelling on the sidewalk—disgusting!,5
Only one day left until the grand opening—I’m buzzing with anticipation!,6
The refrigerator’s optimal temperature setting is between 35°F and 38°F.,7
I woke up to a beautiful sunrise today and had the best coffee ever!,0
"I got fired from my job, and it's all because of my manager's decision.",1
The recent news about the environmental crisis is really terrifying.,2
My best friend just told me they didn't get accepted into their dream school.,3
"Oh my God, I just won the lottery! Life is so crazy right now!",4
I can't stand the taste of this restaurant's dessert. It's completely disgusting!,5
I'm finally going to that music festival I've been looking forward to for months!,6
"The temperature is 75°F today, and there's no precipitation forecasted.",7
"I got a great score on my exam, and I feel like I can conquer the world!",0
"My car broke down on the side of the highway, and it's been two hours already.",1
Watching the horror movie left me feeling shaken and queasy all night.,2
I spent the day at the hospital visiting a friend who's really sick.,3
I just found out that my favorite band is releasing a new album next week!,4
The smell in this subway station is absolutely revolting; I need to hold my breath!,5
I just booked a ticket for my dream vacation next month!,6
"It rained heavily yesterday, and the streets were flooded.",7
I just aced my performance review and got a big raise!,0
I can't believe my partner forgot about our anniversary for the third year in a row.,1
I had a nightmare last night about losing everything I own.,2
"My grandmother is very sick, and I don't think she has much time left.",3
You won't believe it—I just bought a winning lottery ticket!,4
"I accidentally watched a documentary about animal torture, and it was horrifying.",5
I'm finally starting a new job that I've been preparing for my whole life!,6
"The recipe calls for 2 cups of flour and 3 eggs, and the oven needs to be preheated to 350°F.",7
"I got a perfect score on my coding test, and I'm so proud of myself!",0
I can't believe I misread the directions and missed my flight today.,1
I can't believe how sunny it is today! This is the perfect weather for a picnic in the park!,0
I'm so frustrated with this traffic. I'm going to be late for my meeting!,1
I'm really worried about the storm that's coming tonight. I hope everything will be okay.,2
I miss my grandparents so much. It's been hard not being able to visit them.,3
What?! You got the job? That's amazing! Congratulations!,4
The smell of that garbage bin is unbearable. I can't stand it!,5
I can’t wait to see my friends tonight! We’re going to have so much fun!,6
The sky is blue and the grass is green. It’s a typical summer day.,7
I’m so happy that I finally finished my project! All that hard work paid off!,0
This traffic jam is ridiculous. I’ve been stuck here for over an hour!,1
I’m terrified of public speaking. I have to give a presentation next week.,2
I feel so down today. Everything just seems so hopeless.,3
You mean you won the lottery? That’s incredible!,4
That food looks and smells so bad. I think I might throw up.,5
I’m so excited about my upcoming vacation! I’ve been planning it for months!,6
The meeting is scheduled for 10 AM. Make sure to bring the necessary documents.,7
I’m elated that my favorite band is coming to town this summer!,0
This customer service is the worst I’ve ever encountered. I’m so angry!,1
"I’m afraid of heights, so I’m nervous about the upcoming skydiving trip.",2
I’m feeling really down about my recent breakup. It’s been tough.,3
Are you serious? You got the promotion? That’s awesome!,4
The sight of that accident made me feel incredibly nauseous.,5
I’m thrilled to start my new job next week! I can’t wait to get started.,6
The temperature today is 72 degrees Fahrenheit. It’s a beautiful day.,7
I’m so grateful for the support I’ve received from my family and friends.,0
I’m so frustrated with my internet connection. It’s been down for hours!,1
"I just got a promotion at work, I can't wait to start my new project!",0
The thought of public speaking makes me feel nauseous.,2
"I'm so upset that my cat ran away, I don't know what to do without her.",3
I can't believe they sold my favorite restaurant!,4
The smell of rotten eggs coming from the kitchen is disgusting.,5
The new video game is out today and I can't wait to try it!,6
The weather forecast predicts another sunny day.,7
I'm so angry at my boss for not even acknowledging my hard work.,1
"It was a great day of hiking, I love exploring nature.",0
The sound of fireworks is always exhilarating.,6
I just saw my childhood friend and I couldn't believe it was really them.,4
I feel a sense of dread as I see the dark clouds gathering.,2
"The annual report is due tomorrow, wish me luck.",7
It's disappointing that the movie was a letdown after all the hype.,3
The museum exhibit on ancient civilizations was fascinating to explore.,0
I need to submit my visa application by the end of the week.,7
I'm so proud of my little sister for achieving her goal.,0
The smell of freshly baked cookies wafting through the house is divine.,6
The sudden realization that I forgot my keys has me feeling frantic.,1
The new book by my favorite author is a masterpiece.,0
"The meeting with my financial advisor went well, but it was just business.",7
"I'm terrified of snakes, they make my skin crawl.",2
"The movie was so shocking, I couldn't believe my eyes at the climax.",4
"The garden needs weeding, but I'm not in the mood to do it.",7
I'm heartbroken that our relationship has come to an end.,3
I can't believe I won the lottery! This is the best day of my life!,0
The new job offer is exactly what I wanted. I'm so thrilled!,0
I'm so angry at the service in this restaurant. It's completely unacceptable!,1
The traffic today was so frustrating. I almost missed my appointment!,1
The sky is so dark and stormy. I'm afraid we might have a severe weather event tonight.,2
I'm so afraid to go to the dentist. The thought of sitting in that chair makes me nervous.,2
I just lost my favorite necklace. I feel so sad and empty without it.,3
The news about the passing of my old friend has left me feeling really down.,3
What?! You mean the concert was canceled? That's a huge surprise!,4
I'm shocked by the sudden change in plans. We were supposed to go on a trip this weekend!,4
I can't stand the smell of that food. It's absolutely revolting.,5
The sight of the garbage piled up on the street is so disgusting. It's an eyesore.,5
I'm so excited about the new project! It's going to be a game changer!,6
The concert was amazing! The energy in the crowd was electric.,6
The weather forecast is calling for sunny skies this weekend. Perfect for a picnic!,0
I'm really disappointed by the quality of the service. It's not up to the usual standards.,3
I'm feeling a bit anxious about the upcoming exam. I hope I'm prepared.,2
The traffic today was surprisingly light. I had a smooth drive home.,4
The new policy at work is causing a lot of frustration. It's really unfair.,1
The smell of the garbage in the kitchen is making me feel nauseous.,5
I'm so excited to meet my favorite author at the book signing event!,6
The news today is really depressing. It's hard to stay positive.,3
I'm feeling a bit anxious about the interview tomorrow. I hope it goes well.,2
I'm surprised by how quickly the project came together. Everyone did a great job!,4
The new restaurant in town looks terrible. The exterior is an eyesore.,5
The weather today is absolutely perfect. Clear skies and a gentle breeze.,0
I can't believe I aced that job interview! Now I'm so excited to start a new chapter in my career.,6
I'm so nervous about tomorrow's exam. What if I mess up everything I've studied?,2
"My favorite sports team just won the championship, and it was unbelievable! I was cheering my heart out!",0
"I spent hours on this report, and my boss just rejected it because of a minor typo. This is so frustrating.",1
"She lied to me about her intentions, and now I feel completely betrayed. I don't know what to do.",3
The sight of that slimy slug made my skin crawl. How disgusting can nature get?,5
